,Actual,Date,Forecasted
2004-12-13,1.07446468520294,2004-12-13,1.053227186203003
2004-12-14,1.0537905001572825,2004-12-14,1.032889723777771
2004-12-15,1.0790060528830838,2004-12-15,1.0585331916809082
2004-12-16,1.2362659503022164,2004-12-16,1.1459591388702393
2004-12-17,1.1448844884488447,2004-12-17,1.124979853630066
2004-12-20,0.9898477157360406,2004-12-20,1.0660215616226196
2004-12-21,1.0538535956143176,2004-12-21,1.092537522315979
2004-12-22,1.099110964767863,2004-12-22,1.1252115964889526
2004-12-23,1.0755512321660183,2004-12-23,1.0997642278671265
2004-12-27,1.0519818063677713,2004-12-27,1.1016560792922974
2004-12-28,1.0790411402656304,2004-12-28,1.0945135354995728
2004-12-29,1.0302457466918713,2004-12-29,1.0469818115234375
