,Actual,Date,Forecasted
2014-02-18,0.09141384096767813,2014-02-18,0.06474602222442627
2014-02-19,0.07283775463768483,2014-02-19,0.059600017964839935
2014-02-20,0.08174320827943071,2014-02-20,0.07175871729850769
2014-02-21,0.08940271493212659,2014-02-21,0.08256153017282486
2014-02-24,0.08519493072709694,2014-02-24,0.07004785537719727
2014-02-25,0.07124668528177303,2014-02-25,0.048541054129600525
2014-02-26,0.06917098218588724,2014-02-26,0.04802883043885231
2014-02-27,0.07871779445073623,2014-02-27,0.06149696558713913
2014-02-28,0.07562512166203605,2014-02-28,0.06338383257389069
2014-03-03,0.07098078327307711,2014-03-03,0.07188266515731812
2014-03-04,0.05699495388898557,2014-03-04,0.04351956397294998
2014-03-05,0.06062927687137609,2014-03-05,0.04397343844175339
2014-03-06,0.05482520627562226,2014-03-06,0.03695918619632721
2014-03-07,0.05585252014289077,2014-03-07,0.04403013736009598
2014-03-10,0.04113603162327051,2014-03-10,0.032090187072753906
2014-03-11,0.030016652074642547,2014-03-11,0.031480588018894196
2014-03-12,0.04068614774588397,2014-03-12,0.03517388924956322
2014-03-13,0.05804258651219496,2014-03-13,0.07018374651670456
2014-03-14,0.0649909646486202,2014-03-14,0.08942161500453949
2014-03-17,0.06152215919715753,2014-03-17,0.06004076451063156
2014-03-18,0.0942615545838903,2014-03-18,0.0711667463183403
2014-03-19,0.056244990708038456,2014-03-19,0.04172448068857193
2014-03-20,0.013709069663073725,2014-03-20,-0.0014740228652954102
2014-03-21,0.04376979610562626,2014-03-21,0.04478833079338074
2014-03-24,0.017370141280663498,2014-03-24,0.03863641247153282
2014-03-25,0.013575927221833428,2014-03-25,0.02814312092959881
2014-03-26,-0.024130142418704148,2014-03-26,0.005204588174819946
2014-03-27,-0.05364179915749434,2014-03-27,-0.020923679694533348
2014-03-28,-0.044998422753275924,2014-03-28,-0.02951175533235073
2014-03-31,-0.06357861836024814,2014-03-31,-0.05655845254659653
2014-04-01,-0.04365082709047852,2014-04-01,-0.06397367268800735
2014-04-02,-0.05400450037503135,2014-04-02,-0.08114586025476456
2014-04-03,-0.5248586631193881,2014-04-03,-0.08599113672971725
2014-04-04,-0.5497076506342495,2014-04-04,-0.14939159154891968
2014-04-07,-0.5503518139627726,2014-04-07,-0.22333963215351105
2014-04-08,-0.5369941284434145,2014-04-08,-0.3058435916900635
